Index,Date,Open,High,Low,Close,Volume
SP500,2000-11-22,1347.35,1347.35,1321.89,1322.36,963200000
SP500,2000-11-24,1322.36,1343.83,1322.36,1341.77,404870000
SP500,2000-11-27,1341.77,1362.5,1341.77,1348.97,946100000
SP500,2000-11-28,1348.97,1358.81,1334.97,1336.09,1028200000
SP500,2000-11-29,1336.09,1352.38,1329.28,1341.93,402100000
SP500,2000-11-30,1341.91,1341.91,1294.9,1314.95,1186530000
SP500,2000-12-01,1314.95,1334.67,1307.02,1315.23,1195200000
SP500,2000-12-04,1315.18,1332.06,1310.23,1324.97,1103000000
SP500,2000-12-05,1324.97,1376.56,1324.97,1376.54,900300000
SP500,2000-12-06,1376.54,1376.54,1346.15,1351.46,1399300000
SP500,2000-12-07,1351.46,1353.5,1339.26,1343.55,1128000000
SP500,2000-12-08,1343.55,1380.33,1343.55,1369.89,1358300000
SP500,2000-12-11,1369.89,1389.05,1364.14,1380.2,1202400000
SP500,2000-12-12,1380.2,1380.27,1370.27,1371.18,1083400000
SP500,2000-12-13,1371.18,1385.82,1358.48,1359.99,1195100000
SP500,2000-12-14,1359.99,1359.99,1340.48,1340.93,1061300000
SP500,2000-12-15,1340.93,1340.93,1305.38,1312.15,1561100000
SP500,2000-12-18,1312.15,1332.32,1312.15,1322.74,1189900000
SP500,2000-12-19,1322.96,1346.44,1305.2,1305.6,1324900000
SP500,2000-12-20,1305.6,1305.6,1261.16,1264.74,1421600000
SP500,2000-12-21,1264.74,1285.31,1254.07,1274.86,1449900000
SP500,2000-12-22,1274.86,1305.97,1274.86,1305.95,1087100000
SP500,2000-12-26,1305.97,1315.94,1301.64,1315.19,806500000
SP500,2000-12-27,1315.19,1332.03,1310.96,1328.92,1092700000
SP500,2000-12-28,1328.92,1335.93,1325.78,1334.22,1015300000
SP500,2000-12-29,1334.22,1340.1,1317.51,1320.28,1035500000
SP500,2001-01-02,1320.28,1320.28,1276.05,1283.27,1129400000
SP500,2001-01-03,1283.27,1347.76,1274.62,1347.56,1880700000
SP500,2001-01-04,1347.56,1350.24,1329.14,1333.34,2131000000
SP500,2001-01-05,1333.34,1334.77,1294.95,1298.35,1430800000
SP500,2001-01-08,1298.35,1298.35,1276.29,1295.86,1115500000
SP500,2001-01-09,1295.86,1311.72,1295.14,1300.8,1191300000
SP500,2001-01-10,1300.8,1313.76,1287.28,1313.27,1296500000
SP500,2001-01-11,1313.27,1332.19,1309.72,1326.82,1411200000
SP500,2001-01-12,1326.82,1333.21,1311.59,1318.55,1276000000
SP500,2001-01-16,1318.32,1327.81,1313.33,1326.65,1205700000
SP500,2001-01-17,1326.65,1346.92,1325.41,1329.47,1349100000
SP500,2001-01-18,1329.89,1352.71,1327.41,1347.97,1445000000
SP500,2001-01-19,1347.97,1354.55,1336.74,1342.54,1407800000
SP500,2001-01-22,1342.54,1353.62,1333.84,1342.9,1164000000
SP500,2001-01-23,1342.9,1362.9,1339.63,1360.4,1232600000
SP500,2001-01-24,1360.4,1369.75,1357.28,1364.3,1309000000
SP500,2001-01-25,1364.3,1367.35,1354.63,1357.51,1258000000
SP500,2001-01-26,1357.51,1357.51,1342.75,1354.95,1098000000
SP500,2001-01-29,1354.92,1365.54,1350.36,1364.17,1053100000
SP500,2001-01-30,1364.17,1375.68,1356.2,1373.73,1149800000
SP500,2001-01-31,1373.73,1383.37,1364.66,1366.01,1295300000
SP500,2001-02-01,1366.01,1373.5,1359.34,1373.47,1118800000
SP500,2001-02-02,1373.47,1376.38,1348.72,1349.47,1048400000
SP500,2001-02-05,1349.47,1354.56,1344.48,1354.31,1013000000
SP500,2001-02-06,1354.31,1363.55,1350.04,1352.26,1059600000
SP500,2001-02-07,1352.26,1352.26,1334.26,1340.89,1158300000
SP500,2001-02-08,1341.1,1350.32,1332.42,1332.53,1107200000
SP500,2001-02-09,1332.53,1332.53,1309.98,1314.76,1075500000
SP500,2001-02-12,1314.76,1330.96,1313.64,1330.31,1039100000
SP500,2001-02-13,1330.31,1336.62,1317.51,1318.8,1075200000
SP500,2001-02-14,1318.8,1320.73,1304.72,1315.92,1150300000
SP500,2001-02-15,1315.92,1331.29,1315.92,1326.61,1153700000
SP500,2001-02-16,1326.61,1326.61,1293.18,1301.53,1257200000
SP500,2001-02-20,1301.53,1307.16,1278.44,1278.94,1112200000
SP500,2001-02-21,1278.94,1282.97,1253.16,1255.27,1208500000
SP500,2001-02-22,1255.27,1259.94,1228.33,1252.82,1365900000
SP500,2001-02-23,1252.82,1252.82,1215.44,1245.86,1231300000
SP500,2001-02-26,1245.86,1267.69,1241.71,1267.65,1130800000
SP500,2001-02-27,1267.65,1272.76,1252.26,1257.94,1114100000
SP500,2001-02-28,1257.94,1263.47,1229.65,1239.94,1225300000
SP500,2001-03-01,1239.94,1241.36,1214.5,1241.23,1294900000
SP500,2001-03-02,1241.23,1251.01,1219.74,1234.18,1294000000
SP500,2001-03-05,1234.18,1242.55,1234.04,1241.41,929200000
SP500,2001-03-06,1241.41,1267.42,1241.41,1253.8,1091800000
SP500,2001-03-07,1253.8,1263.86,1253.8,1261.89,1132200000
SP500,2001-03-08,1261.89,1266.5,1257.6,1264.74,1114100000
SP500,2001-03-09,1264.74,1264.74,1228.42,1233.42,1085900000
SP500,2001-03-12,1233.42,1233.42,1176.78,1180.16,1229000000
SP500,2001-03-13,1180.16,1197.83,1171.5,1197.66,1360900000
SP500,2001-03-14,1197.66,1197.66,1155.35,1166.71,1397400000
SP500,2001-03-15,1166.71,1182.04,1166.71,1173.56,1259500000
SP500,2001-03-16,1173.56,1173.56,1148.64,1150.53,1543560000
SP500,2001-03-19,1150.53,1173.5,1147.18,1170.81,1126200000
SP500,2001-03-20,1170.81,1180.56,1142.19,1142.62,1235900000
SP500,2001-03-21,1142.62,1149.39,1118.74,1122.14,1346300000
SP500,2001-03-22,1122.14,1124.27,1081.19,1117.58,1723950000
SP500,2001-03-23,1117.58,1141.83,1117.58,1139.83,1364900000
SP500,2001-03-26,1139.83,1160.02,1139.83,1152.69,1114000000
SP500,2001-03-27,1152.69,1183.35,1150.96,1182.17,1314200000
SP500,2001-03-28,1182.17,1182.17,1147.83,1153.29,1333400000
SP500,2001-03-29,1153.29,1161.69,1136.26,1147.95,1234500000
SP500,2001-03-30,1147.95,1162.8,1143.83,1160.33,1280800000
SP500,2001-04-02,1160.33,1169.51,1137.51,1145.87,1254900000
SP500,2001-04-03,1145.87,1145.87,1100.19,1106.46,1386100000
SP500,2001-04-04,1106.46,1117.5,1091.99,1103.25,1425590000
SP500,2001-04-05,1103.25,1151.47,1103.25,1151.44,1368000000
SP500,2001-04-06,1151.44,1151.44,1119.29,1128.43,1266800000
SP500,2001-04-09,1128.43,1146.13,1126.38,1137.59,1062800000
SP500,2001-04-10,1137.59,1173.92,1137.59,1168.38,1349600000
SP500,2001-04-11,1168.38,1182.24,1160.26,1165.89,1290300000
SP500,2001-04-12,1165.89,1183.51,1157.73,1183.5,1102000000
SP500,2001-04-16,1183.5,1184.64,1167.38,1179.68,913900000
SP500,2001-04-17,1179.68,1192.25,1168.9,1191.81,1109600000
SP500,2001-04-18,1191.81,1248.42,1191.81,1238.16,1918900000
SP500,2001-04-19,1238.16,1253.71,1233.39,1253.69,1486800000
SP500,2001-04-20,1253.7,1253.7,1234.41,1242.98,1338700000
SP500,2001-04-23,1242.98,1242.98,1217.47,1224.36,1012600000
SP500,2001-04-24,1224.36,1233.54,1208.89,1209.47,1216500000
SP500,2001-04-25,1209.47,1232.36,1207.38,1228.75,1203600000
SP500,2001-04-26,1228.75,1248.3,1228.75,1234.52,1345200000
SP500,2001-04-27,1234.52,1253.07,1234.52,1253.05,1091300000
SP500,2001-04-30,1253.05,1269.3,1243.99,1249.46,1266800000
SP500,2001-05-01,1249.46,1266.47,1243.55,1266.44,1181300000
SP500,2001-05-02,1266.44,1272.93,1257.7,1267.43,1342200000
SP500,2001-05-03,1267.43,1267.43,1239.88,1248.58,1137900000
SP500,2001-05-04,1248.58,1267.51,1232.0,1266.61,1082100000
SP500,2001-05-07,1266.61,1270.0,1259.19,1263.51,949000000
SP500,2001-05-08,1266.71,1267.01,1253.0,1261.2,1006300000
SP500,2001-05-09,1261.2,1261.65,1247.83,1255.54,1132400000
SP500,2001-05-10,1255.54,1268.14,1254.56,1255.18,1056700000
SP500,2001-05-11,1255.18,1259.84,1240.79,1245.67,906200000
SP500,2001-05-14,1245.67,1249.68,1241.02,1248.92,858200000
SP500,2001-05-15,1248.92,1257.45,1245.36,1249.44,1071800000
SP500,2001-05-16,1249.44,1286.39,1243.02,1284.99,1405300000
SP500,2001-05-17,1284.99,1296.48,1282.65,1288.49,1355600000
SP500,2001-05-18,1288.49,1292.06,1281.15,1291.96,1130800000
SP500,2001-05-21,1291.96,1312.95,1287.87,1312.83,1174900000
SP500,2001-05-22,1312.83,1315.93,1306.89,1309.38,1260400000
SP500,2001-05-23,1309.38,1309.38,1288.7,1289.05,1134800000
SP500,2001-05-24,1289.05,1295.04,1281.22,1293.17,1100700000
SP500,2001-05-25,1293.17,1293.17,1276.42,1277.89,828100000
SP500,2001-05-29,1277.89,1278.42,1265.41,1267.93,1026000000
SP500,2001-05-30,1267.93,1267.93,1245.96,1248.08,1158600000
SP500,2001-05-31,1248.08,1261.91,1248.07,1255.82,1226600000
SP500,2001-06-01,1255.82,1265.34,1246.88,1260.67,1015000000
SP500,2001-06-04,1260.67,1267.17,1256.36,1267.11,836500000
SP500,2001-06-05,1267.11,1286.62,1267.11,1283.57,1116800000
SP500,2001-06-06,1283.57,1283.85,1269.01,1270.03,1061900000
SP500,2001-06-07,1270.03,1277.08,1265.08,1276.96,1089600000
SP500,2001-06-08,1276.96,1277.11,1259.99,1264.96,726200000
SP500,2001-06-11,1264.96,1264.96,1249.23,1254.39,870100000
SP500,2001-06-12,1254.39,1261.0,1235.75,1255.85,1136500000
SP500,2001-06-13,1255.85,1259.75,1241.59,1241.6,1063600000
SP500,2001-06-14,1241.6,1241.6,1218.9,1219.87,1242900000
SP500,2001-06-15,1219.87,1221.5,1203.03,1214.36,1635550000
SP500,2001-06-18,1214.36,1221.23,1208.33,1208.43,1111600000
SP500,2001-06-19,1208.43,1226.11,1207.71,1212.58,1184900000
SP500,2001-06-20,1212.58,1225.61,1210.07,1223.14,1350100000
SP500,2001-06-21,1223.14,1240.24,1220.25,1237.04,1546820000
SP500,2001-06-22,1237.04,1237.73,1221.41,1225.35,1189200000
SP500,2001-06-25,1225.35,1231.5,1213.6,1218.6,1050100000
SP500,2001-06-26,1218.6,1220.7,1204.64,1216.76,1198900000
SP500,2001-06-27,1216.76,1219.92,1207.29,1211.07,1162100000
SP500,2001-06-28,1211.07,1234.44,1211.07,1226.2,1327300000
SP500,2001-06-29,1226.2,1237.29,1221.14,1224.38,1832360000
SP500,2001-07-02,1224.42,1239.78,1224.03,1236.72,1128300000
SP500,2001-07-03,1236.71,1236.71,1229.43,1234.45,622110000
SP500,2001-07-05,1234.45,1234.45,1219.15,1219.24,934900000
SP500,2001-07-06,1219.24,1219.24,1188.74,1190.59,1056700000
SP500,2001-07-09,1190.59,1201.76,1189.75,1198.78,1045700000
SP500,2001-07-10,1198.78,1203.43,1179.93,1181.52,1263800000
SP500,2001-07-11,1181.52,1184.93,1168.46,1180.18,1384100000
SP500,2001-07-12,1180.18,1210.25,1180.18,1208.14,1394000000
SP500,2001-07-13,1208.14,1218.54,1203.61,1215.68,1121700000
SP500,2001-07-16,1215.68,1219.63,1200.05,1202.45,1039800000
